name,address_or_area,region,prefecture,primary_category,public_label,planning_flags,launch_tier,status,public_render,address_verified,source_type,original_category
Asahiyama Zoo,"Asahikawa, Hokkaido",Hokkaido,Hokkaido,See,animals,with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Shirogane Blue Pond (Aoiike),"Biei, Hokkaido",Hokkaido,Hokkaido,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Farm Tomita (Lavender/Flower Fields),"Furano, Hokkaido",Hokkaido,Hokkaido,See,photo_spots,,standard,ready,True,False,backlog_import,Views & Sunsets
Biei Patchwork Road (scenic countryside),"Biei, Hokkaido",Hokkaido,Hokkaido,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Shiretoko Five Lakes,"Shiretoko (Shari), Hokkaido",Hokkaido,Hokkaido,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Lake Mashu Viewpoints,"Teshikaga, Hokkaido",Hokkaido,Hokkaido,See,photo_spots,,standard,ready,True,False,backlog_import,Views & Sunsets
Lake Akan & Ainu Kotan,"Kushiro, Hokkaido",Hokkaido,Hokkaido,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Kushiro Marsh Observatory,"Kushiro, Hokkaido",Hokkaido,Hokkaido,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Noboribetsu Onsen & Hell Valley,"Noboribetsu, Hokkaido",Hokkaido,Hokkaido,Stay,onsen_ryokan,,standard,ready,True,False,backlog_import,Onsen & Ryokan Towns
Lake Toya Lakeside Day,"Toyako, Hokkaido",Hokkaido,Hokkaido,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Mount Usu Ropeway,"Toyako, Hokkaido",Hokkaido,Hokkaido,Do,scenic_transport,by_train,standard,ready,True,False,backlog_import,Trains & Scenic Transport
Otaru Canal + Glass Shops,"Otaru, Hokkaido",Hokkaido,Hokkaido,Do,workshops_crafts,,standard,ready,True,False,backlog_import,Crafts & Making
Otaru Aquarium,"Otaru, Hokkaido",Hokkaido,Hokkaido,See,animals,rainy_day;with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Sapporo Maruyama Zoo,"Sapporo, Hokkaido",Hokkaido,Hokkaido,See,animals,with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Moerenuma Park,"Sapporo, Hokkaido",Hokkaido,Hokkaido,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Shiroi Koibito Park (Chocolate Factory),"Sapporo, Hokkaido",Hokkaido,Hokkaido,Do,quirky_museums,rainy_day;with_kids,standard,ready,True,False,backlog_import,Quirky & Interactive Museums
Jozankei Onsen,"Jozankei (Sapporo), Hokkaido",Hokkaido,Hokkaido,Stay,onsen_ryokan,,standard,ready,True,False,backlog_import,Onsen & Ryokan Towns
Hakodate Morning Market,"Hakodate, Hokkaido",Hokkaido,Hokkaido,Eat,food_markets,,standard,ready,True,False,backlog_import,Food & Markets
Mount Hakodate Ropeway,"Hakodate, Hokkaido",Hokkaido,Hokkaido,See,photo_spots,,standard,ready,True,False,backlog_import,Views & Sunsets
Onuma Quasi-National Park,"Onuma (Nanae), Hokkaido",Hokkaido,Hokkaido,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Oirase Gorge,"Towada, Aomori",Tohoku,Aomori,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Lake Towada Shore / Boat,"Lake Towada, Aomori/Akita",Tohoku,Aomori/Akita,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Hirosaki Castle Park,"Hirosaki, Aomori",Tohoku,Aomori,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Nebuta Warasse (festival museum),"Aomori City, Aomori",Tohoku,Aomori,Do,quirky_museums,rainy_day;with_kids,standard,ready,True,False,backlog_import,Quirky & Interactive Museums
Hakkoda Ropeway,"Aomori City, Aomori",Tohoku,Aomori,Do,scenic_transport,by_train,standard,ready,True,False,backlog_import,Trains & Scenic Transport
Geibikei Gorge Boat,"Ichinoseki, Iwate",Tohoku,Iwate,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Ryusendo Cave,"Iwaizumi, Iwate",Tohoku,Iwate,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Jodogahama Beach,"Miyako, Iwate",Tohoku,Iwate,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Matsushima Bay Viewpoints,"Matsushima, Miyagi",Tohoku,Miyagi,See,photo_spots,,standard,ready,True,False,backlog_import,Views & Sunsets
Sendai Uminomori Aquarium,"Sendai, Miyagi",Tohoku,Miyagi,See,animals,rainy_day;with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Zao Ropeway (summer),"Zao, Yamagata",Tohoku,Yamagata,Do,scenic_transport,by_train,standard,ready,True,False,backlog_import,Trains & Scenic Transport
Ginzan Onsen Town Walk,"Obanazawa, Yamagata",Tohoku,Yamagata,Stay,onsen_ryokan,,standard,ready,True,False,backlog_import,Onsen & Ryokan Towns
Kamo Aquarium (Jellyfish),"Tsuruoka, Yamagata",Tohoku,Yamagata,See,animals,rainy_day;with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Yamadera (Risshakuji),"Yamagata City, Yamagata",Tohoku,Yamagata,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Lake Tazawa,"Senboku, Akita",Tohoku,Akita,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Kakunodate Samurai District,"Senboku, Akita",Tohoku,Akita,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Nyuto Onsen Area,"Nyuto, Akita",Tohoku,Akita,Stay,onsen_ryokan,,standard,ready,True,False,backlog_import,Onsen & Ryokan Towns
Goshikinuma (Five Colored Ponds),"Urabandai, Fukushima",Tohoku,Fukushima,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Ouchi-juku Post Town,"Shimogo, Fukushima",Tohoku,Fukushima,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Tsuruga Castle,"Aizuwakamatsu, Fukushima",Tohoku,Fukushima,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Ghibli Museum,"Mitaka, Tokyo",Kanto,Tokyo,See,anime,with_kids,standard,ready,True,False,backlog_import,Anime/Ghibli
Inokashira Park & Zoo,"Mitaka, Tokyo",Kanto,Tokyo,See,animals,with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Ueno Zoo,"Taito, Tokyo",Kanto,Tokyo,See,animals,with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
National Museum of Nature and Science,"Taito, Tokyo",Kanto,Tokyo,Do,quirky_museums,rainy_day;with_kids,standard,ready,True,False,backlog_import,Quirky & Interactive Museums
Edo-Tokyo Open Air Architectural Museum,"Koganei, Tokyo",Kanto,Tokyo,See,culture_history,rainy_day,standard,ready,True,False,backlog_import,Culture & History
teamLab Planets TOKYO,"Toyosu, Tokyo",Kanto,Tokyo,Do,quirky_museums,rainy_day;with_kids,standard,ready,True,False,backlog_import,Quirky & Interactive Museums
Tokyo Sea Life Park (Kasai Rinkai),"Edogawa, Tokyo",Kanto,Tokyo,See,animals,with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Miraikan (National Museum of Emerging Science),"Odaiba, Tokyo",Kanto,Tokyo,Do,quirky_museums,rainy_day;with_kids,standard,ready,True,False,backlog_import,Quirky & Interactive Museums
Shibuya Sky Observatory,"Shibuya, Tokyo",Kanto,Tokyo,See,photo_spots,,standard,ready,True,False,backlog_import,Views & Sunsets
Tsukiji Outer Market,"Chuo, Tokyo",Kanto,Tokyo,Eat,food_markets,,standard,ready,True,False,backlog_import,Food & Markets
Cup Noodles Museum Yokohama,"Yokohama, Kanagawa",Kanto,Kanagawa,Do,workshops_crafts,,standard,ready,True,False,backlog_import,Crafts & Making
Shin-Yokohama Ramen Museum,"Yokohama, Kanagawa",Kanto,Kanagawa,Eat,food_markets,,standard,ready,True,False,backlog_import,Food & Markets
Sankeien Garden,"Yokohama, Kanagawa",Kanto,Kanagawa,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Kamakura Great Buddha (Kotoku-in),"Kamakura, Kanagawa",Kanto,Kanagawa,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Enoshima Island Day,"Enoshima (Fujisawa), Kanagawa",Kanto,Kanagawa,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Hakone Open-Air Museum,"Hakone, Kanagawa",Kanto,Kanagawa,Do,quirky_museums,rainy_day;with_kids,standard,ready,True,False,backlog_import,Quirky & Interactive Museums
Hakone Ropeway & Owakudani,"Hakone, Kanagawa",Kanto,Kanagawa,Do,scenic_transport,by_train,standard,ready,True,False,backlog_import,Trains & Scenic Transport
The Railway Museum,"Saitama (Omiya), Saitama",Kanto,Saitama,Do,scenic_transport,by_train,standard,ready,True,False,backlog_import,Trains & Scenic Transport
Nikko Toshogu Shrine,"Nikko, Tochigi",Kanto,Tochigi,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Hitachi Seaside Park,"Hitachinaka, Ibaraki",Kanto,Ibaraki,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Kenrokuen Garden,"Kanazawa, Ishikawa",Chubu,Ishikawa,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Omicho Market,"Kanazawa, Ishikawa",Chubu,Ishikawa,Eat,food_markets,,standard,ready,True,False,backlog_import,Food & Markets
Kanazawa Gold Leaf Workshop,"Kanazawa, Ishikawa",Chubu,Ishikawa,Do,workshops_crafts,,standard,ready,True,False,backlog_import,Crafts & Making
Chirihama Nagisa Driveway,"Hakui, Ishikawa",Chubu,Ishikawa,See,photo_spots,,standard,ready,True,False,backlog_import,Views & Sunsets
Wajima Morning Market,"Wajima, Ishikawa",Chubu,Ishikawa,Eat,food_markets,,standard,ready,True,False,backlog_import,Food & Markets
Shiroyone Senmaida Rice Terraces,"Shiroyone (Wajima), Ishikawa",Chubu,Ishikawa,See,photo_spots,,standard,ready,True,False,backlog_import,Views & Sunsets
Tateyama Kurobe Alpine Route,"Tateyama/Kurobe, Toyama/Nagano",Chubu,Toyama/Nagano,Do,scenic_transport,by_train,standard,ready,True,False,backlog_import,Trains & Scenic Transport
Kurobe Gorge Railway,"Unazuki, Toyama",Chubu,Toyama,Do,scenic_transport,by_train,standard,ready,True,False,backlog_import,Trains & Scenic Transport
Toyama Glass Art Museum,"Toyama City, Toyama",Chubu,Toyama,Do,quirky_museums,rainy_day;with_kids,standard,ready,True,False,backlog_import,Quirky & Interactive Museums
Takayama Old Town & Markets,"Takayama, Gifu",Chubu,Gifu,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Hida Folk Village (Hida no Sato),"Takayama, Gifu",Chubu,Gifu,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Shirakawa-go Gassho Village,"Shirakawa, Gifu",Chubu,Gifu,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Shinhotaka Ropeway,"Okuhida, Gifu",Chubu,Gifu,Do,scenic_transport,by_train,standard,ready,True,False,backlog_import,Trains & Scenic Transport
Kamikochi Valley Walk,"Kamikochi (Matsumoto), Nagano",Chubu,Nagano,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Matsumoto Castle,"Matsumoto, Nagano",Chubu,Nagano,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Daio Wasabi Farm,"Azumino, Nagano",Chubu,Nagano,Eat,food_markets,,standard,ready,True,False,backlog_import,Food & Markets
Nakasendo: Magome ↔ Tsumago (short hike),"Magome/Tsumago, Gifu/Nagano",Chubu,Gifu/Nagano,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Fuji Five Lakes (Kawaguchiko),"Kawaguchiko, Yamanashi",Chubu,Yamanashi,See,photo_spots,,standard,ready,True,False,backlog_import,Views & Sunsets
Oshino Hakkai Springs,"Oshino, Yamanashi",Chubu,Yamanashi,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
SCMaglev and Railway Park,"Nagoya, Aichi",Chubu,Aichi,Do,scenic_transport,by_train,standard,ready,True,False,backlog_import,Trains & Scenic Transport
Arashiyama Bamboo Grove,"Arashiyama (Kyoto), Kyoto",Kansai,Kyoto,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Sagano Romantic Train,"Arashiyama (Kyoto), Kyoto",Kansai,Kyoto,Do,scenic_transport,by_train,standard,ready,True,False,backlog_import,Trains & Scenic Transport
Kyoto Railway Museum,"Kyoto, Kyoto",Kansai,Kyoto,Do,scenic_transport,by_train,standard,ready,True,False,backlog_import,Trains & Scenic Transport
Kyoto Aquarium,"Kyoto, Kyoto",Kansai,Kyoto,See,animals,rainy_day;with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Nishiki Market Snack Crawl,"Kyoto, Kyoto",Kansai,Kyoto,Eat,food_markets,,standard,ready,True,False,backlog_import,Food & Markets
Fushimi Inari Taisha (short loop),"Fushimi (Kyoto), Kyoto",Kansai,Kyoto,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Kiyomizu-dera + Sannenzaka,"Higashiyama (Kyoto), Kyoto",Kansai,Kyoto,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Gion Evening Stroll (early dinner),"Kyoto, Kyoto",Kansai,Kyoto,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Nara Park Deer,"Nara, Nara",Kansai,Nara,See,animals,with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Todaiji Temple,"Nara, Nara",Kansai,Nara,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Osaka Aquarium Kaiyukan,"Osaka, Osaka",Kansai,Osaka,See,animals,rainy_day;with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Cup Noodles Museum Osaka Ikeda,"Ikeda, Osaka",Kansai,Osaka,Do,workshops_crafts,,standard,ready,True,False,backlog_import,Crafts & Making
Osaka Science Museum,"Osaka, Osaka",Kansai,Osaka,Do,quirky_museums,rainy_day;with_kids,standard,ready,True,False,backlog_import,Quirky & Interactive Museums
Himeji Castle,"Himeji, Hyogo",Kansai,Hyogo,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Kinosaki Onsen,"Toyooka, Hyogo",Kansai,Hyogo,Stay,onsen_ryokan,,standard,ready,True,False,backlog_import,Onsen & Ryokan Towns
Kobe Animal Kingdom,"Kobe, Hyogo",Kansai,Hyogo,See,animals,with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Nunobiki Ropeway & Herb Gardens,"Kobe, Hyogo",Kansai,Hyogo,Do,scenic_transport,by_train,standard,ready,True,False,backlog_import,Trains & Scenic Transport
Lake Biwa Lakeside Day,"Otsu (Lake Biwa), Shiga",Kansai,Shiga,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Shigaraki Pottery Village,"Shigaraki, Shiga",Kansai,Shiga,Do,workshops_crafts,,standard,ready,True,False,backlog_import,Crafts & Making
Nachi Falls,"Nachi-Katsuura, Wakayama",Kansai,Wakayama,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Miyajima Island,"Miyajima (Hatsukaichi), Hiroshima",Chugoku,Hiroshima,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Hiroshima Peace Memorial Park (parent-led),"Hiroshima City, Hiroshima",Chugoku,Hiroshima,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Shukkeien Garden,"Hiroshima City, Hiroshima",Chugoku,Hiroshima,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Okunoshima Rabbit Island,"Okunoshima (Takehara), Hiroshima",Chugoku,Hiroshima,See,animals,with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Sandankyo Gorge,"Akiota, Hiroshima",Chugoku,Hiroshima,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Asa Zoological Park,"Hiroshima City, Hiroshima",Chugoku,Hiroshima,See,animals,with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Senkoji Park & Ropeway (Onomichi),"Onomichi, Hiroshima",Chugoku,Hiroshima,See,photo_spots,,standard,ready,True,False,backlog_import,Views & Sunsets
Shimanami Kaido (family cycling),"Onomichi/Imabari, Hiroshima/Ehime",Chugoku,Hiroshima/Ehime,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Kurashiki Bikan Historical Quarter,"Kurashiki, Okayama",Chugoku,Okayama,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Okayama Korakuen Garden,"Okayama City, Okayama",Chugoku,Okayama,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Kibi Plains Cycling,"Okayama, Okayama",Chugoku,Okayama,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Tottori Sand Dunes,"Tottori City, Tottori",Chugoku,Tottori,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Tottori Sand Museum,"Tottori City, Tottori",Chugoku,Tottori,Do,quirky_museums,rainy_day;with_kids,standard,ready,True,False,backlog_import,Quirky & Interactive Museums
Uradome Coast,"Iwami, Tottori",Chugoku,Tottori,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Izumo Taisha,"Izumo, Shimane",Chugoku,Shimane,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Shimane Aquarium Aquas,"Hamada, Shimane",Chugoku,Shimane,See,animals,rainy_day;with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Tsuwano (small castle town),"Tsuwano, Shimane",Chugoku,Shimane,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Akiyoshido Cave,"Mine, Yamaguchi",Chugoku,Yamaguchi,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Kintaikyo Bridge,"Iwakuni, Yamaguchi",Chugoku,Yamaguchi,See,photo_spots,,standard,ready,True,False,backlog_import,Views & Sunsets
Tsunoshima Bridge Viewpoint,"Shimonoseki, Yamaguchi",Chugoku,Yamaguchi,See,photo_spots,,standard,ready,True,False,backlog_import,Views & Sunsets
Shimanami Kaido (2-day easy pace),"Shimanami, Ehime/Hiroshima",Shikoku,Ehime/Hiroshima,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Dogo Onsen,"Matsuyama, Ehime",Shikoku,Ehime,Stay,onsen_ryokan,,standard,ready,True,False,backlog_import,Onsen & Ryokan Towns
Matsuyama Castle (ropeway option),"Matsuyama, Ehime",Shikoku,Ehime,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Uchiko Old Town,"Uchiko, Ehime",Shikoku,Ehime,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Ritsurin Garden,"Takamatsu, Kagawa",Shikoku,Kagawa,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Udon Making Experience (Kagawa),"Takamatsu/Kotohira, Kagawa",Shikoku,Kagawa,Do,workshops_crafts,,standard,ready,True,False,backlog_import,Crafts & Making
Shodoshima Olive Park,"Shodoshima, Kagawa",Shikoku,Kagawa,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Angel Road (tide path),"Shodoshima, Kagawa",Shikoku,Kagawa,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Naoshima Art Island (selected stops),"Naoshima, Kagawa",Shikoku,Kagawa,Do,quirky_museums,rainy_day;with_kids,standard,ready,True,False,backlog_import,Quirky & Interactive Museums
Naruto Whirlpools (viewpoint or cruise),"Naruto, Tokushima",Shikoku,Tokushima,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Iya Valley Vine Bridge (Kazurabashi),"Miyoshi, Tokushima",Shikoku,Tokushima,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Oboke Gorge Boat,"Miyoshi, Tokushima",Shikoku,Tokushima,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Udatsu Townscape (Wakimachi),"Mima, Tokushima",Shikoku,Tokushima,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Awa Odori Kaikan,"Tokushima City, Tokushima",Shikoku,Tokushima,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Shimanto River Day,"Shimanto, Kochi",Shikoku,Kochi,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Katsurahama Beach,"Kochi City, Kochi",Shikoku,Kochi,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Kochi Castle,"Kochi City, Kochi",Shikoku,Kochi,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Hirome Market (food hall),"Kochi City, Kochi",Shikoku,Kochi,Eat,food_markets,,standard,ready,True,False,backlog_import,Food & Markets
Cape Ashizuri,"Tosashimizu, Kochi",Shikoku,Kochi,See,photo_spots,,standard,ready,True,False,backlog_import,Views & Sunsets
Muroto Geopark Coastline,"Muroto, Kochi",Shikoku,Kochi,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Ohori Park,"Fukuoka City, Fukuoka",Kyushu,Fukuoka,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Dazaifu Tenmangu (short visit),"Dazaifu, Fukuoka",Kyushu,Fukuoka,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Yanagawa Canal Boat Ride,"Yanagawa, Fukuoka",Kyushu,Fukuoka,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Nagasaki Penguin Aquarium,"Nagasaki City, Nagasaki",Kyushu,Nagasaki,See,animals,rainy_day;with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Glover Garden,"Nagasaki City, Nagasaki",Kyushu,Nagasaki,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Kujukushima Aquarium Umikirara,"Sasebo, Nagasaki",Kyushu,Nagasaki,See,animals,rainy_day;with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Kumamoto Castle (select areas),"Kumamoto City, Kumamoto",Kyushu,Kumamoto,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Mt. Aso / Kusasenri,"Aso, Kumamoto",Kyushu,Kumamoto,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Aso Farm/Farm Experience (kid-friendly),"Aso, Kumamoto",Kyushu,Kumamoto,See,animals,with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Takachiho Gorge (viewpoints),"Takachiho, Miyazaki",Kyushu,Miyazaki,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Udo Jingu (cave shrine by the sea),"Nichinan, Miyazaki",Kyushu,Miyazaki,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Beppu “Hells” + Onsen Town,"Beppu, Oita",Kyushu,Oita,Stay,onsen_ryokan,,standard,ready,True,False,backlog_import,Onsen & Ryokan Towns
Yufuin Onsen Town,"Yufuin, Oita",Kyushu,Oita,Stay,onsen_ryokan,,standard,ready,True,False,backlog_import,Onsen & Ryokan Towns
African Safari (Oita),"Usa, Oita",Kyushu,Oita,See,animals,with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Takasakiyama Monkey Park,"Oita City, Oita",Kyushu,Oita,See,animals,with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Sakurajima Volcano Views (ferry optional),"Kagoshima City, Kagoshima",Kyushu,Kagoshima,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Sengan-en Garden,"Kagoshima City, Kagoshima",Kyushu,Kagoshima,See,culture_history,,standard,ready,True,False,backlog_import,Culture & History
Yakushima: Shiratani Unsuikyo (short trails),"Yakushima, Kagoshima",Kyushu,Kagoshima,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
"Yakushima: Nagata Inakahama (sea turtles, seasonal)","Yakushima, Kagoshima",Kyushu,Kagoshima,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Arita Pottery Town (porcelain making/painting),"Arita, Saga",Kyushu,Saga,Do,workshops_crafts,,standard,ready,True,False,backlog_import,Crafts & Making
Okinawa Churaumi Aquarium,"Motobu, Okinawa",Okinawa,Okinawa,See,animals,rainy_day;with_kids,standard,ready,True,False,backlog_import,Animals & Aquariums
Emerald Beach,"Motobu, Okinawa",Okinawa,Okinawa,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Bise Fukugi Tree Road,"Motobu, Okinawa",Okinawa,Okinawa,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
Tropical Dream Center (plants),"Motobu, Okinawa",Okinawa,Okinawa,See,nature_water,,standard,ready,True,False,backlog_import,Nature & Water
